iter	Passed	Remaining
577	24131	35570
578	24173	35530
579	24214	35487
580	24258	35447
581	24301	35409
582	24343	35366
583	24384	35324
584	24422	35277
585	24459	35228
586	24499	35183
587	24547	35151
588	24588	35108
589	24644	35087
590	24686	35045
591	24728	35004
592	24764	34954
593	24804	34909
594	24846	34868
595	24884	34821
596	24927	34782
597	24968	34738
598	25011	34698
599	25053	34656
600	25094	34614
601	25134	34570
602	25177	34530
603	25220	34489
604	25267	34455
605	25308	34413
606	25346	34366
607	25388	34324
608	25429	34282
609	25470	34239
610	25516	34203
611	25558	34161
612	25601	34121
613	25643	34079
614	25686	34040
615	25728	33998
616	25769	33955
617	25812	33915
618	25854	33874
619	25895	33830
620	25937	33790
621	25982	33751
622	26025	33711
623	26065	33667
624	26104	33621
625	26145	33579
626	26187	33538
627	26230	33498
628	26273	33457
629	26312	33412
630	26355	33372
631	26398	33332
632	26443	33294
633	26484	33251
634	26523	33207
635	26565	33164
636	26605	33120
637	26648	33080
638	26688	33037
639	26730	32995
640	26775	32957
641	26816	32914
642	26858	32873
643	26899	32830
644	26941	32789
645	26984	32749
646	27023	32704
647	27063	32659
648	27105	32618
649	27147	32577
650	27191	32538
651	27235	32498
652	27275	32454
653	27315	32411
654	27355	32366
655	27396	32325
656	27441	32286
657	27480	32241
658	27523	32201
659	27565	32159
660	27608	32119
661	27643	32070
662	27682	32024
663	27719	31977
664	27758	31933
665	27804	31896
666	27848	31856
667	27886	31811
668	27924	31765
669	27959	31715
670	27998	31670
671	28042	31631
672	28081	31586
673	28121	31542
674	28162	31499
675	28202	31457
676	28244	31415
677	28287	31374
678	28328	31332
679	28372	31292
680	28414	31251
681	28458	31212
682	28499	31169
683	28541	31128
684	28578	31082
685	28620	31040
686	28664	31000
687	28700	30953
688	28742	30911
689	28783	30869
690	28828	30831
691	28873	30792
692	28913	30749
693	28956	30709
694	29000	30669
695	29041	30626
696	29084	30587
697	29125	30544
698	29168	30503
699	29216	30468
700	29254	30423
701	29296	30381
702	29336	30337
703	29378	30296
704	29417	30251
705	29458	30209
706	29493	30161
707	29531	30115
708	29574	30074
709	29617	30034
710	29658	29992
711	29702	29953
712	29751	29918
713	29797	29880
714	29837	29837
715	29880	29797
716	29917	29750
717	29960	29710
718	30002	29668
719	30041	29624
720	30083	29583
721	30124	29540
722	30168	29501
723	30212	29461
724	30255	29420
725	30298	29380
726	30337	29335
727	30377	29292
728	30420	29251
729	30461	29210
730	30504	29168
731	30545	29126
732	30591	29088
733	30633	29047
734	30675	29005
735	30715	28962
736	30755	28919
737	30797	28877
738	30843	28839
739	30885	28798
740	30926	28755
741	30968	28714
742	31009	28672
743	31051	28630
744	31096	28591
745	31139	28551
746	31175	28504
747	31217	28463
748	31264	28426
749	31306	28384
750	31346	28341
751	31387	28298
752	31429	28257
753	31472	28216
754	31513	28174
755	31555	28132
756	31596	28090
757	31635	28046
758	31678	28005
759	31720	27964
760	31762	27922
761	31803	27880
762	31844	27838
763	31885	27795
764	31925	27752
765	31966	27710
766	32014	27673
767	32057	27632
768	32109	27599
769	32144	27552
770	32185	27509
771	32231	27471
772	32273	27430
773	32315	27388
774	32357	27347
775	32397	27303
776	32440	27263
777	32477	27217
778	32517	27174
779	32557	27131
780	32599	27089
781	32643	27049
782	32687	27009
783	32729	26968
784	32771	26926
785	32805	26878
786	32848	26837
787	32891	26797
788	32931	26754
789	32975	26714
790	33018	26673
791	33060	26632
792	33103	26591
793	33142	26547
794	33183	26505
795	33226	26464
796	33274	26427
797	33316	26386
798	33358	26344
799	33401	26303
800	33444	26263
801	33488	26222
802	33530	26181
803	33572	26139
804	33613	26097
805	33655	26055
806	33697	26013
807	33731	25966
808	33774	25925
809	33820	25887
810	33861	25844
811	33901	25801
812	33946	25762
813	33986	25719
814	34029	25678
815	34064	25631
816	34100	25585
817	34144	25545
818	34186	25503
819	34227	25462
820	34265	25417
821	34304	25373
822	34347	25332
823	34387	25289
824	34427	25247
825	34470	25206
826	34513	25165
827	34554	25123
828	34599	25083
829	34638	25039
830	34680	24998
831	34720	24955
832	34761	24913
833	34802	24870
834	34841	24827
835	34882	24784
836	34923	24742
837	34969	24703
838	35010	24661
839	35051	24619
840	35094	24578
841	35136	24537
842	35177	24495
843	35221	24454
844	35262	24412
845	35303	24370
846	35344	24327
847	35382	24284
848	35424	24242
849	35466	24200
850	35508	24159
851	35551	24117
852	35589	24073
853	35633	24033
854	35669	23988
855	35714	23948
856	35757	23907
857	35798	23865
858	35843	23825
859	35882	23782
860	35924	23741
861	35966	23699
